EmployeeID;Age;AvgDailyHours;Department;Education;EducationField;Gender;HasFlexibleTimings;IsIndividualContributor;JobInvolvement;JobRole;JobSatisfaction;LeavesTaken;MaritalStatus;MicromanagedAtWork;MonthlyIncome;NumCompaniesWorked;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;RemoteWorkSatistfaction;SelfMotivationLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;WorkLoadLevel;YearsAtCompany;YearsSinceLastPromotion;YearsWithCurrManager
200042;26.0;10.4;Human Resources;4;Marketing;Female;No;No;3;Manufacturing Director;3;2.0;Single;1.0;50000;1;18;4;3;Medium;1;3.0;3;4;Low;1.0;1.0;1.0
200043;25.0;9.7;Research & Development;3;Technical Degree;Female;Yes;No;1;Sales Representative;4;5.0;Single;4.0;58333;1;21;2;2;Low;3;2.0;4;4;High;1.0;1.0;1.0
200044;22.0;7.42;Research & Development;3;Medical;Male;Yes;Yes;2;Sales Representative;2;7.0;Single;3.0;33333;1;15;2;2;Very Low;3;;5;1;Low;0.0;0.0;0.0
200045;25.0;7.48;Research & Development;3;Human Resources;Female;No;No;2;Research Scientist;2;7.0;Married;3.0;16667;1;20;1;1;Very Low;3;1.0;5;1;High;1.0;1.0;1.0
200046;27.0;10.38;Sales;1;Life Sciences;Female;No;Yes;4;Sales Executive;3;6.0;Married;3.0;16667;1;21;3;3;Medium;3;0.0;4;1;Medium;0.0;0.0;0.0
200047;27.0;6.48;Human Resources;1;Other;Female;No;Yes;3;Research Scientist;1;3.0;Single;4.0;50000;1;18;3;4;Very High;3;2.0;1;1;High;1.0;1.0;1.0
200048;26.0;10.8;Human Resources;4;Other;Female;No;Yes;4;Laboratory Technician;4;3.0;Single;2.0;1047;1;9;2;3;Very High;4;0.0;4;1;Low;0.0;0.0;0.0
200049;20.0;7.35;Human Resources;3;Medical;Female;No;No;4;Human Resources;4;7.0;Married;3.0;25000;1;16;3;4;Very High;1;1.0;0;1;Medium;1.0;1.0;1.0
200050;20.0;10.01;Research & Development;2;Marketing;Male;Yes;No;3;Human Resources;4;5.0;Divorced;4.0;33333;1;12;2;3;Very High;4;0.0;1;2;High;0.0;0.0;0.0
200051;29.0;8.04;Sales;1;Other;Female;No;No;4;Human Resources;3;14.0;Married;5.0;141667;2;16;4;1;Very Low;1;6.0;0;4;Low;;;
200052;32.0;8.88;Research & Development;5;Life Sciences;Male;Yes;No;1;Human Resources;3;5.0;Single;5.0;25000;1;9;4;2;Very High;4;2.0;3;2;High;0.0;0.0;0.0
200053;18.0;6.24;Sales;5;Marketing;Female;Yes;Yes;4;Sales Representative;2;10.0;Single;4.0;25000;1;10;2;2;High;4;0.0;1;1;Medium;0.0;0.0;0.0
200054;26.0;5.99;Human Resources;5;Technical Degree;;No;Yes;2;Sales Representative;2;3.0;Married;5.0;16667;1;24;4;1;Low;4;0.0;4;4;High;0.0;0.0;0.0
200055;53.0;7.33;Sales;4;Life Sciences;Male;Yes;Yes;4;Manufacturing Director;1;17.0;Divorced;1.0;216667;1;24;3;1;Very High;2;15.0;1;3;Low;6.0;2.0;2.0
200056;51.0;7.27;Human Resources;3;Medical;Female;No;No;4;Manufacturing Director;2;3.0;Single;5.0;491667;1;21;4;2;Very Low;4;29.0;0;1;Low;1.0;1.0;1.0
200057;31.0;6.87;Research & Development;1;Other;Male;Yes;No;2;Laboratory Technician;2;9.0;Married;3.0;91667;2;17;4;3;Very High;3;5.0;6;2;High;3.0;3.0;0.0
200058;20.0;6.92;Research & Development;1;Marketing;Male;No;Yes;1;Manager;1;10.0;Divorced;1.0;25000;1;20;3;2;Very Low;1;0.0;3;2;Low;0.0;0.0;0.0
200059;48.0;7.92;Sales;4;Technical Degree;Male;No;No;2;Healthcare Representative;1;24.0;Single;1.0;375000;5;16;3;2;Low;1;24.0;1;2;Medium;17.0;0.0;0.0
200060;36.0;10.67;Sales;3;Life Sciences;Female;No;Yes;3;Laboratory Technician;2;2.0;Single;4.0;16667;1;19;2;4;Very High;2;0.0;2;4;Medium;0.0;0.0;0.0
200061;32.0;9.42;Research & Development;3;Human Resources;Male;Yes;Yes;2;Sales Representative;3;9.0;Married;3.0;75000;2;11;2;2;Low;4;5.0;2;1;Low;0.0;0.0;0.0
200062;57.0;6.3;Research & Development;1;Medical;Male;No;No;1;Laboratory Technician;3;23.0;Married;3.0;475000;3;25;2;3;Very High;1;24.0;3;2;High;13.0;2.0;1.0
200063;18.0;7.6;Research & Development;3;Medical;Female;No;No;1;Research Scientist;1;10.0;Married;2.0;8333;1;12;2;1;Very High;2;0.0;0;1;High;0.0;0.0;0.0
200064;47.0;10.96;Sales;3;Other;Male;Yes;Yes;2;Research Scientist;1;14.0;Single;3.0;475000;1;10;3;3;Medium;1;23.0;6;3;Low;19.0;3.0;7.0
200065;25.0;7.4;Research & Development;1;Life Sciences;Female;No;No;3;Human Resources;4;3.0;Married;3.0;91667;1;15;2;2;Low;1;4.0;1;3;High;1.0;1.0;1.0
200066;55.0;10.8;Sales;5;Technical Degree;Female;Yes;No;1;Manufacturing Director;1;13.0;Married;2.0;208333;2;17;4;2;Very High;4;12.0;4;3;High;8.0;5.0;7.0
200067;39.0;10.62;Sales;1;Technical Degree;Male;No;No;3;Sales Executive;2;4.0;Single;3.0;25000;1;21;1;1;High;2;1.0;0;2;Medium;0.0;0.0;0.0
200068;44.0;7.83;Research & Development;3;Human Resources;Female;No;No;2;Research Director;2;5.0;Divorced;2.0;75000;1;15;2;3;Very High;1;5.0;0;3;;1.0;1.0;1.0
200069;30.0;6.82;Research & Development;4;Other;Female;No;Yes;4;Manufacturing Director;3;20.0;Single;2.0;75000;1;21;2;1;Medium;1;3.0;0;2;Low;3.0;3.0;1.0
200070;49.0;8.0;Human Resources;1;Other;Female;No;Yes;1;Healthcare Representative;3;12.0;Married;5.0;116667;1;8;3;3;Very High;3;8.0;3;3;High;4.0;4.0;2.0
200071;30.0;6.31;Sales;3;Life Sciences;Male;Yes;No;2;Sales Executive;4;19.0;Single;4.0;25000;1;12;3;1;Medium;4;2.0;2;4;High;2.0;2.0;2.0
200072;35.0;18.03;Sales;3;Medical;Male;No;No;4;Manager;2;7.0;Divorced;1.0;41667;1;21;4;3;Very High;4;3.0;3;2;Medium;0.0;0.0;0.0
200073;51.0;10.61;Research & Development;1;Other;Female;No;No;1;Laboratory Technician;1;8.0;Divorced;5.0;400000;1;8;3;2;Very High;2;23.0;3;3;High;8.0;2.0;7.0
200074;35.0;8.69;Sales;4;Life Sciences;Male;No;Yes;2;Healthcare Representative;4;19.0;Single;3.0;133333;1;24;4;1;High;1;5.0;1;4;Low;5.0;5.0;5.0
200075;51.0;7.79;Sales;4;Other;Male;No;Yes;3;Research Scientist;3;15.0;Single;1.0;366667;1;22;1;3;Medium;4;26.0;2;4;Low;16.0;1.0;9.0
200076;32.0;8.21;Research & Development;2;Medical;Male;Yes;Yes;3;Human Resources;2;7.0;Married;1.0;258333;1;15;2;2;Very High;3;9.0;0;3;High;9.0;1.0;2.0
200077;49.0;6.0;Sales;5;Marketing;Male;Yes;No;1;Human Resources;4;8.0;Divorced;1.0;250000;2;21;4;1;Very Low;2;14.0;3;1;Medium;8.0;0.0;7.0
200078;22.0;7.1;Human Resources;4;Human Resources;Female;No;No;3;Sales Executive;3;4.0;Married;4.0;16667;1;14;4;1;Low;2;1.0;2;4;High;0.0;0.0;0.0
200079;;7.93;Human Resources;3;Medical;Female;No;Yes;2;Sales Executive;1;14.0;Divorced;1.0;41667;1;21;2;2;High;3;2.0;1;3;Medium;2.0;2.0;2.0
200080;49.0;7.93;Research & Development;3;Medical;Female;No;No;1;Laboratory Technician;2;19.0;Divorced;5.0;450000;1;17;1;3;Very High;3;26.0;0;4;Low;21.0;4.0;9.0
200081;32.0;6.1;Human Resources;5;Human Resources;Female;No;No;2;Manager;4;4.0;Married;3.0;58333;1;13;1;3;High;1;3.0;3;2;High;0.0;0.0;0.0
200082;42.0;6.65;Human Resources;5;Other;Female;No;Yes;3;Laboratory Technician;4;9.0;Single;1.0;116667;1;14;1;2;Very Low;3;5.0;6;1;Medium;2.0;2.0;2.0
200083;54.0;6.8;Sales;1;Technical Degree;Male;No;Yes;1;Manufacturing Director;1;10.0;Single;2.0;433333;2;20;4;3;Very Low;3;24.0;2;3;Low;19.0;3.0;2.0
200084;43.0;9.47;Sales;2;Other;Female;No;Yes;1;Research Scientist;1;10.0;Single;5.0;150000;1;14;4;2;Medium;2;12.0;2;2;High;3.0;3.0;0.0
200085;20.0;7.18;Human Resources;5;Life Sciences;Male;No;No;1;Human Resources;4;4.0;Divorced;3.0;25000;1;13;3;4;High;2;0.0;5;3;Medium;0.0;0.0;0.0
200086;18.0;7.42;Research & Development;3;Marketing;;No;Yes;3;Manufacturing Director;1;6.0;Single;2.0;16667;1;11;2;4;Low;4;0.0;0;4;High;0.0;0.0;0.0
200087;;7.07;Human Resources;1;Medical;Male;No;No;4;Manufacturing Director;4;18.0;Single;4.0;75000;1;12;3;1;Very High;3;6.0;3;1;Medium;4.0;4.0;4.0
200088;29.0;7.72;Human Resources;5;Medical;Male;No;;3;Human Resources;2;2.0;Divorced;4.0;125000;4;9;2;3;High;1;;2;3;Medium;0.0;0.0;0.0
200089;49.0;5.99;Human Resources;1;Technical Degree;Male;No;Yes;1;Human Resources;3;8.0;Married;3.0;83333;1;12;1;3;Very High;4;4.0;1;3;Low;4.0;4.0;2.0
200090;35.0;7.4;Human Resources;2;Technical Degree;Male;No;Yes;1;Healthcare Representative;1;9.0;Married;2.0;16667;1;12;4;3;Medium;1;1.0;5;3;Low;1.0;1.0;1.0
200091;60.0;6.87;Sales;3;Marketing;Male;Yes;Yes;4;Research Scientist;4;13.0;Single;5.0;291667;3;16;1;1;Low;2;17.0;6;2;High;14.0;0.0;10.0
200092;;10.38;Research & Development;1;Marketing;Female;Yes;Yes;2;Sales Executive;3;3.0;Divorced;3.0;33333;1;12;4;2;High;4;0.0;5;1;High;0.0;0.0;0.0
200093;57.0;8.88;Sales;1;Human Resources;Male;Yes;Yes;4;Manufacturing Director;1;4.0;Married;4.0;333333;5;19;4;1;Medium;4;20.0;2;1;Medium;0.0;0.0;0.0
200094;44.0;8.63;Research & Development;5;Life Sciences;Male;No;No;3;Research Director;4;16.0;Single;1.0;291667;1;25;1;2;Very High;4;19.0;1;2;Medium;11.0;0.0;7.0
200095;38.0;2.16;Human Resources;5;Other;Female;No;Yes;4;Manager;1;5.0;Divorced;1.0;308333;4;15;1;1;Very High;3;16.0;6;2;Medium;4.0;4.0;0.0
200096;26.0;6.41;Research & Development;4;Marketing;Female;Yes;Yes;1;Sales Representative;4;6.0;Divorced;5.0;50000;1;16;2;4;Very High;4;3.0;0;4;High;2.0;2.0;2.0
200097;25.0;8.88;Sales;5;Technical Degree;Male;No;Yes;1;Sales Representative;2;2.0;Single;3.0;33333;1;23;1;1;Low;3;2.0;1;4;High;0.0;0.0;0.0
200098;45.0;7.72;Sales;4;Other;Male;Yes;No;4;Manufacturing Director;4;13.0;Single;2.0;158333;1;13;3;2;Medium;1;11.0;3;4;Low;10.0;0.0;10.0
200099;34.0;7.12;Sales;1;Marketing;Male;No;Yes;2;Manager;2;7.0;Single;5.0;133333;1;7;1;4;Very Low;2;9.0;3;4;Medium;1.0;1.0;1.0
200100;22.0;7.99;Sales;1;Human Resources;Female;No;Yes;1;Healthcare Representative;4;7.0;Divorced;1.0;25000;1;19;3;2;Medium;4;0.0;3;3;Low;0.0;0.0;0.0
200101;39.0;7.77;Research & Development;5;Human Resources;Male;Yes;No;1;Human Resources;3;27.0;Divorced;4.0;166667;3;15;4;4;Medium;2;13.0;1;2;High;13.0;4.0;4.0
200102;33.0;8.88;Sales;5;Medical;Female;No;No;1;Human Resources;3;9.0;Married;4.0;25000;1;17;2;3;Very Low;4;1.0;1;2;Low;1.0;1.0;1.0
200103;38.0;9.71;Sales;5;Technical Degree;Male;No;No;2;Human Resources;2;3.0;Married;2.0;25000;1;22;3;3;Very Low;4;0.0;0;1;Medium;0.0;0.0;0.0
200104;27.0;6.78;Human Resources;5;Human Resources;Male;No;No;4;Healthcare Representative;1;10.0;Divorced;3.0;25000;1;21;4;2;High;4;1.0;2;4;Low;0.0;0.0;0.0
200105;33.0;10.61;Human Resources;4;Other;Female;No;No;3;Human Resources;1;19.0;Single;5.0;200000;2;9;2;2;High;3;10.0;0;4;Medium;7.0;3.0;3.0
200106;56.0;2.23;Human Resources;5;Other;Female;No;Yes;4;Research Scientist;2;14.0;Married;5.0;450000;1;7;4;2;Very High;3;23.0;2;3;Low;14.0;2.0;0.0
200107;18.0;7.37;Sales;5;Human Resources;Female;No;Yes;2;Research Director;3;8.0;Single;2.0;33333;1;21;1;4;Very Low;4;0.0;2;2;High;0.0;0.0;0.0
200108;37.0;6.19;Research & Development;4;Human Resources;Male;Yes;Yes;4;Manager;3;5.0;Single;5.0;191667;2;11;4;3;High;2;12.0;0;4;Medium;6.0;4.0;2.0
200109;53.0;2.04;Sales;3;Other;Male;No;Yes;4;Manager;3;19.0;Single;4.0;50000;1;20;2;2;Medium;2;4.0;5;1;Medium;2.0;2.0;2.0
200110;38.0;7.6;Research & Development;4;Technical Degree;Female;Yes;No;3;Healthcare Representative;4;5.0;Married;3.0;50000;1;17;3;2;Very Low;4;2.0;5;1;Medium;1.0;1.0;1.0
200111;52.0;7.32;Research & Development;1;Human Resources;Male;No;No;1;Laboratory Technician;2;6.0;Single;3.0;141667;2;20;4;3;Low;1;7.0;6;2;High;7.0;0.0;6.0
200112;;7.73;Sales;3;Medical;Female;Yes;Yes;1;Sales Executive;1;9.0;Single;2.0;283333;5;25;4;1;Medium;1;20.0;3;2;Low;0.0;0.0;0.0
200113;43.0;9.68;Human Resources;4;Marketing;Female;No;No;4;Human Resources;1;16.0;Divorced;1.0;141667;2;19;2;3;Medium;4;11.0;4;2;High;3.0;3.0;3.0
200114;48.0;7.91;Human Resources;1;Technical Degree;Female;No;Yes;3;Manufacturing Director;1;30.0;Divorced;1.0;341667;3;15;4;4;Medium;3;24.0;4;3;Low;11.0;2.0;8.0
200115;51.0;7.88;Research & Development;1;Human Resources;Female;Yes;Yes;4;Sales Executive;4;2.0;Divorced;5.0;16667;1;18;4;3;Very High;2;1.0;2;1;Low;0.0;0.0;0.0
200116;45.0;8.61;Research & Development;2;Technical Degree;Male;No;No;3;Research Director;3;6.0;Single;1.0;375000;4;14;2;3;Very High;2;18.0;4;4;Low;3.0;3.0;0.0
200117;40.0;8.88;Human Resources;4;Marketing;Male;No;Yes;1;Research Scientist;1;10.0;Divorced;4.0;25000;1;17;4;3;Very High;3;0.0;3;3;High;0.0;0.0;0.0
200118;49.0;2.01;Research & Development;5;Other;Male;No;No;4;Human Resources;2;5.0;Single;4.0;16667;1;22;3;1;High;1;1.0;0;3;Medium;1.0;1.0;1.0
200119;24.0;6.88;Human Resources;3;Life Sciences;Female;No;No;3;Sales Executive;1;20.0;Single;4.0;50000;1;22;4;2;Very High;3;2.0;4;2;Low;2.0;2.0;2.0
200120;46.0;10.62;Human Resources;5;Life Sciences;Male;No;No;1;Human Resources;4;28.0;Divorced;3.0;233333;3;24;4;2;High;4;16.0;6;1;Low;12.0;1.0;5.0
200121;41.0;9.38;Sales;4;Marketing;Female;Yes;No;2;Healthcare Representative;1;19.0;Divorced;4.0;166667;1;17;3;3;Very High;2;7.0;3;3;Medium;4.0;4.0;4.0
200122;26.0;9.61;Human Resources;3;Marketing;Female;No;Yes;4;Research Scientist;3;9.0;Single;2.0;25000;1;23;2;3;Medium;1;1.0;0;4;Low;1.0;1.0;1.0
200123;;2.06;Human Resources;2;Medical;Female;No;No;1;Research Director;4;14.0;Single;2.0;158333;1;9;4;3;Very Low;1;6.0;6;2;Medium;3.0;3.0;1.0
200124;40.0;8.78;Sales;3;Other;Male;No;No;1;Sales Executive;2;9.0;Single;5.0;66667;1;13;1;2;Very High;3;4.0;1;2;Medium;1.0;1.0;1.0
200125;51.0;7.22;Human Resources;4;Other;Female;No;No;3;Research Director;3;10.0;Divorced;1.0;208333;3;11;4;2;High;3;13.0;4;1;High;0.0;0.0;0.0
200126;46.0;9.32;Sales;4;Life Sciences;Male;Yes;No;4;Healthcare Representative;2;9.0;Single;4.0;58333;1;25;3;1;Very Low;4;2.0;3;2;Medium;1.0;1.0;1.0
200127;39.0;10.71;Research & Development;3;Marketing;Male;Yes;No;1;Research Director;2;20.0;Married;1.0;333333;3;8;4;3;High;4;18.0;2;3;Low;5.0;5.0;0.0
200128;31.0;6.59;Sales;2;Other;Female;No;Yes;2;Manufacturing Director;1;5.0;Divorced;4.0;16667;1;14;1;3;Medium;3;1.0;1;1;High;1.0;1.0;1.0
200129;26.0;7.37;Research & Development;3;Medical;Male;Yes;No;1;Research Scientist;2;5.0;Married;2.0;75000;1;8;2;3;High;2;3.0;3;4;Medium;3.0;3.0;2.0
200130;40.0;8.9;Human Resources;1;Life Sciences;Male;No;Yes;3;Laboratory Technician;4;8.0;Single;3.0;333333;4;14;2;2;Very High;4;19.0;5;2;Low;;;
200131;43.0;8.21;Human Resources;5;Marketing;Male;No;Yes;3;Sales Executive;4;8.0;Divorced;5.0;216667;4;12;3;4;Very High;4;8.0;0;4;Medium;2.0;2.0;2.0
200132;45.0;7.58;Human Resources;3;Technical Degree;Male;No;Yes;4;Manufacturing Director;4;5.0;Married;5.0;25000;1;8;4;1;Low;1;2.0;0;4;High;1.0;1.0;1.0
200133;19.0;6.65;Research & Development;1;Life Sciences;Female;No;Yes;2;Research Director;3;8.0;Married;4.0;25000;1;25;4;2;Very High;1;0.0;3;3;Low;0.0;0.0;0.0
200134;27.0;7.01;Human Resources;1;Human Resources;;No;Yes;1;;2;8.0;Single;;16667;1;7;4;1;High;3;1.0;4;2;Low;0.0;0.0;0.0
200135;;5.96;Human Resources;3;Human Resources;Female;No;No;4;Manager;2;9.0;Married;5.0;216667;2;20;1;1;High;1;9.0;2;4;High;3.0;3.0;0.0
200136;39.0;6.91;Research & Development;1;Human Resources;Female;Yes;No;1;Manager;4;17.0;Single;5.0;216667;2;20;2;4;High;3;13.0;4;2;High;5.0;5.0;5.0
200137;40.0;7.02;Sales;5;Life Sciences;Female;No;No;4;Human Resources;1;16.0;Single;3.0;200000;3;12;1;4;Very High;1;7.0;2;1;High;5.0;5.0;0.0
200138;20.0;7.6;Human Resources;3;Medical;Female;No;No;2;Human Resources;1;10.0;Married;5.0;25000;1;24;3;2;Very High;1;2.0;5;1;High;1.0;1.0;1.0
200139;45.0;6.08;Sales;4;Human Resources;Female;Yes;No;2;Manager;1;9.0;Divorced;1.0;133333;2;18;1;3;Low;1;10.0;4;4;;1.0;1.0;1.0
200140;47.0;6.3;Research & Development;1;Technical Degree;Male;Yes;Yes;1;;3;6.0;Divorced;;450000;4;21;2;4;Very Low;4;24.0;4;3;High;1.0;1.0;1.0
200141;45.0;8.75;Human Resources;1;Life Sciences;Female;No;Yes;2;Human Resources;2;13.0;Single;1.0;200000;2;13;4;1;High;4;8.0;6;4;Low;7.0;0.0;7.0
200142;45.0;7.33;Sales;1;Marketing;Male;Yes;Yes;3;Manager;1;26.0;Single;3.0;275000;4;25;3;3;Very Low;4;20.0;1;2;High;17.0;1.0;4.0
200143;34.0;6.81;Human Resources;1;Human Resources;Female;No;Yes;1;Manufacturing Director;3;15.0;Divorced;5.0;241667;1;10;3;4;Very High;1;12.0;2;2;High;2.0;2.0;2.0
200144;50.0;7.89;Sales;2;Medical;Female;Yes;No;3;Manager;3;7.0;Single;2.0;150000;2;13;1;2;Medium;4;9.0;0;4;Medium;0.0;0.0;0.0
