EmployeeID;Target;Age;AvgDailyHours;Department;Education;EducationField;Gender;HasFlexibleTimings;IsIndividualContributor;JobInvolvement;JobRole;JobSatisfaction;LeavesTaken;MaritalStatus;MicromanagedAtWork;MonthlyIncome;NumCompaniesWorked;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;RemoteWorkSatistfaction;SelfMotivationLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;WorkLoadLevel;YearsAtCompany;YearsSinceLastPromotion;YearsWithCurrManager
100011;0;51.0;8.38;Human Resources;5;Human Resources;Female;No;Yes;1;Sales Executive;4;14.0;Divorced;5.0;283333;2;13;2;3;High;2;10.0;6;2;High;10.0;2.0;5.0
100012;0;33.0;9.38;Sales;2;Human Resources;Female;Yes;Yes;3;Healthcare Representative;4;10.0;Single;3.0;225000;3;9;4;2;Medium;4;9.0;3;3;High;0.0;0.0;0.0
100013;0;58.0;6.29;Sales;2;Marketing;Female;Yes;Yes;4;Sales Executive;1;30.0;Divorced;1.0;566667;7;15;2;3;Very High;2;28.0;5;1;Low;19.0;5.0;8.0
100014;1;46.0;9.81;Research & Development;4;Life Sciences;Female;Yes;Yes;4;Laboratory Technician;2;19.0;Married;2.0;475000;1;7;2;4;High;1;25.0;6;1;High;9.0;1.0;1.0
100015;0;36.0;6.71;Research & Development;5;Medical;Male;No;No;1;Healthcare Representative;2;2.0;Divorced;1.0;91667;2;8;1;3;Very High;4;4.0;4;2;Medium;1.0;1.0;1.0
100016;0;50.0;6.2;Research & Development;2;Marketing;Female;No;No;4;Healthcare Representative;3;9.0;Divorced;5.0;250000;4;22;4;2;Very High;1;16.0;0;1;Low;0.0;0.0;0.0
100017;1;48.0;9.42;Sales;5;Human Resources;Female;No;;1;Research Director;2;5.0;Married;5.0;158333;1;7;2;3;Medium;3;12.0;1;2;;5.0;5.0;5.0
100018;0;40.0;8.48;Research & Development;1;Other;Male;No;Yes;3;Research Scientist;2;6.0;Single;2.0;208333;2;17;1;1;Very Low;3;11.0;4;4;High;3.0;3.0;2.0
100019;0;;8.88;Sales;1;Marketing;Male;No;Yes;4;Sales Executive;3;5.0;Divorced;3.0;33333;1;15;3;1;Low;4;2.0;0;2;High;0.0;0.0;0.0
100020;0;24.0;10.29;Research & Development;2;Marketing;Male;No;Yes;2;Laboratory Technician;4;5.0;Single;3.0;58333;1;16;2;4;Low;3;3.0;0;4;Medium;1.0;1.0;1.0
100021;0;35.0;7.38;Sales;5;Medical;Male;No;Yes;4;Sales Executive;1;7.0;Married;5.0;133333;1;9;2;1;High;3;5.0;3;3;High;2.0;2.0;2.0
100022;1;;10.67;Sales;3;Marketing;Female;No;No;4;Manager;1;6.0;Divorced;3.0;1024;1;10;3;1;High;1;0.0;3;2;Low;0.0;0.0;0.0
100023;1;46.0;7.1;Human Resources;3;Medical;Male;No;No;1;Research Scientist;1;10.0;Single;5.0;183333;2;9;1;2;Very High;1;10.0;1;1;Low;6.0;5.0;6.0
100024;0;19.0;6.1;Human Resources;3;Human Resources;Male;No;Yes;1;Research Scientist;1;6.0;Divorced;5.0;25000;1;10;3;4;Very High;2;0.0;2;1;Low;0.0;0.0;0.0
100025;0;52.0;7.42;Human Resources;1;Human Resources;Female;No;Yes;1;Research Director;3;7.0;Single;4.0;16667;1;18;4;1;Very High;2;1.0;2;4;Low;1.0;1.0;1.0
100026;0;53.0;7.27;Sales;3;Life Sciences;Female;Yes;No;2;Sales Representative;2;20.0;Single;1.0;483333;4;7;2;2;Medium;2;27.0;0;3;Low;9.0;2.0;4.0
100027;0;39.0;7.82;Human Resources;4;Human Resources;Female;No;Yes;2;Manufacturing Director;4;17.0;Single;2.0;183333;3;9;2;1;Low;3;13.0;1;3;High;5.0;5.0;2.0
100028;0;27.0;7.51;Research & Development;4;Marketing;Male;Yes;Yes;3;Manager;2;11.0;Divorced;1.0;58333;1;25;4;4;High;2;2.0;0;4;Low;2.0;2.0;2.0
100029;0;51.0;6.92;Sales;3;Other;Male;No;Yes;1;Sales Representative;3;11.0;Single;4.0;250000;2;17;1;3;Very High;2;19.0;1;1;Low;14.0;0.0;10.0
100030;0;37.0;10.29;Research & Development;1;Life Sciences;Female;Yes;No;4;Sales Executive;1;5.0;Divorced;3.0;225000;2;22;3;3;Very High;1;8.0;2;3;High;4.0;4.0;4.0
100031;0;51.0;10.1;Sales;4;Life Sciences;Male;No;No;4;Research Director;2;5.0;Divorced;2.0;241667;2;11;2;3;Very Low;2;10.0;2;3;High;1.0;1.0;1.0
100032;1;56.0;9.96;Human Resources;4;Other;Female;No;Yes;4;Research Director;2;12.0;Divorced;2.0;258333;3;7;1;3;Very Low;3;18.0;4;1;High;8.0;2.0;7.0
100033;0;31.0;7.11;Sales;3;Human Resources;Male;Yes;No;1;Manufacturing Director;3;18.0;Divorced;4.0;133333;2;17;1;2;High;2;5.0;6;2;High;4.0;4.0;1.0
100034;0;51.0;10.01;Research & Development;1;Technical Degree;Female;Yes;No;1;Research Scientist;4;23.0;Divorced;4.0;466667;1;23;4;3;Very Low;3;24.0;6;3;High;18.0;0.0;6.0
100035;1;30.0;10.68;Human Resources;5;Other;Female;No;Yes;1;Research Director;1;18.0;Single;5.0;108333;1;13;3;3;Low;2;8.0;1;1;Medium;5.0;5.0;5.0
100036;0;24.0;6.96;Human Resources;4;Medical;Female;No;No;4;Sales Executive;3;10.0;Married;4.0;75000;1;22;3;1;Medium;2;3.0;3;1;Low;1.0;1.0;1.0
100037;1;43.0;18.18;Research & Development;3;Medical;Male;No;No;3;Sales Executive;4;27.0;Divorced;5.0;325000;2;11;4;1;Very Low;4;18.0;4;2;Low;11.0;1.0;7.0
100038;0;18.0;6.22;Sales;3;Life Sciences;Female;No;No;3;Human Resources;3;8.0;Single;2.0;16667;1;22;3;4;Very High;4;0.0;4;4;Medium;0.0;0.0;0.0
100039;0;46.0;10.5;Research & Development;1;Technical Degree;Male;Yes;Yes;4;Manufacturing Director;3;14.0;Married;2.0;341667;3;8;1;3;Medium;4;25.0;6;1;Low;10.0;3.0;8.0
100040;0;24.0;7.39;Human Resources;5;Other;Female;No;Yes;3;Human Resources;4;2.0;Single;1.0;16667;1;24;4;2;High;3;1.0;0;3;High;1.0;1.0;1.0
100041;0;50.0;6.39;Research & Development;2;Life Sciences;Female;No;No;1;Manager;3;11.0;Married;3.0;75000;1;9;3;1;High;1;3.0;0;4;High;2.0;2.0;2.0
100042;0;32.0;7.66;Sales;3;Marketing;Male;No;Yes;3;Research Director;1;3.0;Single;3.0;33333;1;15;4;1;Very High;4;0.0;0;3;Low;0.0;0.0;0.0
100043;0;33.0;7.64;Research & Development;2;Medical;Female;Yes;No;2;Research Director;1;6.0;Married;5.0;50000;1;14;2;1;Very Low;2;3.0;6;4;Medium;0.0;0.0;0.0
100044;0;32.0;8.4;Sales;2;Technical Degree;Male;No;Yes;4;Research Director;3;20.0;Divorced;5.0;216667;1;9;3;4;Very High;2;10.0;6;2;Low;7.0;1.0;7.0
100045;0;34.0;10.98;Sales;1;Life Sciences;Female;Yes;Yes;3;Healthcare Representative;4;15.0;Married;1.0;233333;1;7;4;2;High;1;8.0;6;2;Low;7.0;4.0;3.0
100046;1;38.0;9.13;Sales;5;Medical;Female;No;Yes;3;Manager;3;2.0;Single;1.0;66667;2;15;4;2;Low;4;5.0;3;2;High;1.0;1.0;1.0
100047;0;56.0;6.49;Human Resources;5;Human Resources;Female;No;Yes;1;Research Director;2;9.0;Single;2.0;208333;4;19;1;3;Medium;3;9.0;1;3;Low;0.0;0.0;0.0
100048;0;23.0;8.88;Human Resources;4;Other;Female;No;No;2;Healthcare Representative;4;9.0;Single;3.0;1051;1;22;1;2;Very High;4;0.0;3;1;Low;0.0;0.0;0.0
100049;0;44.0;6.32;Sales;4;Technical Degree;Male;No;No;2;Manager;4;16.0;Married;5.0;75000;2;22;4;3;Low;3;5.0;1;1;High;;;
100050;0;32.0;6.52;Human Resources;3;Life Sciences;Female;No;No;3;Sales Representative;4;14.0;Divorced;1.0;125000;1;8;4;1;Very High;4;8.0;2;3;Low;5.0;5.0;0.0
100051;0;36.0;7.77;Human Resources;2;Medical;Female;No;Yes;4;Healthcare Representative;2;15.0;Divorced;4.0;150000;4;17;2;4;Very High;3;8.0;5;2;Low;7.0;2.0;0.0
100052;0;46.0;9.08;Sales;4;Marketing;Female;Yes;No;3;Laboratory Technician;4;15.0;Single;1.0;500000;2;11;4;2;Medium;2;24.0;2;1;Medium;5.0;5.0;1.0
100053;0;32.0;7.19;Sales;1;Other;Male;No;No;2;Laboratory Technician;3;18.0;Single;4.0;91667;1;25;4;2;Low;3;5.0;0;3;Medium;3.0;3.0;2.0
100054;0;29.0;6.68;Research & Development;4;Life Sciences;Male;No;;4;Manufacturing Director;4;6.0;Divorced;2.0;25000;1;22;4;3;Very High;1;0.0;4;3;High;0.0;0.0;0.0
100055;0;36.0;7.39;Sales;1;Life Sciences;Male;No;Yes;3;Sales Executive;4;10.0;Single;3.0;200000;1;21;4;1;Very High;1;12.0;4;4;High;6.0;4.0;6.0
100056;0;18.0;7.41;Sales;3;Technical Degree;Male;Yes;Yes;3;;2;4.0;Married;;16667;1;15;1;4;High;1;0.0;4;1;High;0.0;0.0;0.0
100057;0;45.0;7.4;Research & Development;2;Technical Degree;Female;Yes;No;3;Research Director;4;8.0;Married;5.0;100000;1;14;2;4;Very Low;4;5.0;3;3;Low;1.0;1.0;1.0
100058;0;58.0;6.29;Research & Development;2;Life Sciences;Female;No;Yes;3;Sales Executive;3;9.0;Married;1.0;33333;1;17;4;4;Low;2;2.0;1;4;Medium;1.0;1.0;1.0
100059;1;34.0;8.1;Research & Development;5;Medical;Female;Yes;Yes;3;Sales Executive;1;8.0;Married;2.0;133333;1;7;2;1;Medium;1;5.0;3;1;Medium;4.0;4.0;0.0
100060;1;28.0;6.25;Human Resources;1;Life Sciences;Male;No;No;1;Manager;1;10.0;Married;5.0;91667;1;21;3;1;Very Low;1;4.0;0;1;Low;0.0;0.0;0.0
100061;0;25.0;18.04;Research & Development;3;Technical Degree;Male;Yes;Yes;3;Research Director;1;9.0;Married;1.0;100000;2;9;3;3;Very Low;3;4.0;0;4;High;3.0;3.0;1.0
100062;0;56.0;5.98;Sales;2;Technical Degree;Male;Yes;Yes;4;Research Scientist;4;18.0;Single;4.0;225000;2;18;1;3;High;1;16.0;3;3;Low;15.0;0.0;5.0
100063;0;;6.99;Human Resources;2;Medical;Female;No;No;3;Laboratory Technician;1;2.0;Single;5.0;41667;1;10;2;1;High;3;3.0;5;3;High;0.0;0.0;0.0
100064;0;46.0;6.99;Sales;1;Medical;Male;Yes;Yes;4;Human Resources;2;24.0;Divorced;2.0;275000;5;8;4;1;Low;1;22.0;3;4;Low;11.0;3.0;3.0
100065;0;40.0;7.38;Sales;1;Other;Female;No;No;2;Manager;3;4.0;Married;3.0;141667;1;23;4;2;High;4;5.0;6;4;Medium;1.0;1.0;1.0
100066;1;28.0;10.32;Sales;5;Life Sciences;Male;No;No;4;Sales Representative;1;6.0;Married;2.0;16667;1;7;1;4;High;1;1.0;6;2;Medium;1.0;1.0;1.0
100067;0;31.0;9.4;Sales;5;Marketing;Female;No;No;2;;4;16.0;Divorced;;166667;2;20;1;1;Very High;1;10.0;4;3;Medium;4.0;4.0;4.0
100068;0;54.0;9.29;Human Resources;5;Other;Female;No;Yes;2;Healthcare Representative;1;18.0;Divorced;1.0;175000;2;22;3;4;Low;2;10.0;3;3;Medium;2.0;2.0;2.0
100069;0;37.0;7.9;Human Resources;1;Marketing;Female;No;No;4;Research Scientist;3;3.0;Married;4.0;175000;3;15;1;2;High;3;12.0;4;1;High;0.0;0.0;0.0
100070;0;59.0;7.08;Research & Development;4;Life Sciences;Male;No;Yes;3;Research Scientist;3;10.0;Divorced;2.0;308333;1;17;2;4;Very High;2;15.0;5;1;Medium;7.0;2.0;5.0
100071;1;31.0;2.08;Human Resources;5;Other;Female;No;No;3;Research Director;1;8.0;Divorced;4.0;225000;2;23;3;3;Very High;2;8.0;3;4;Low;7.0;4.0;7.0
100072;1;34.0;6.51;Human Resources;1;Life Sciences;Male;No;Yes;2;Laboratory Technician;4;2.0;Divorced;1.0;33333;1;7;1;2;Low;2;2.0;3;1;High;1.0;1.0;1.0
100073;0;49.0;6.28;Sales;1;Technical Degree;Female;No;Yes;4;Manager;3;11.0;Married;1.0;75000;1;15;2;2;Low;2;3.0;4;2;Medium;3.0;3.0;2.0
100074;0;48.0;6.48;Sales;2;Marketing;Female;Yes;No;2;Human Resources;4;15.0;Divorced;1.0;375000;3;24;1;4;Very High;2;23.0;1;1;High;;;
100075;0;46.0;7.93;Research & Development;4;Human Resources;Male;Yes;Yes;4;Sales Executive;3;22.0;Married;5.0;275000;4;16;1;1;Very High;2;;1;4;High;13.0;5.0;8.0
100076;1;59.0;9.18;Sales;2;Technical Degree;Male;No;No;1;Laboratory Technician;1;10.0;Single;2.0;250000;1;9;2;3;Medium;3;10.0;2;3;High;1.0;1.0;1.0
100077;0;34.0;6.31;Human Resources;3;Human Resources;Female;No;Yes;4;Sales Executive;3;10.0;Married;3.0;116667;1;14;3;2;Very Low;1;5.0;6;4;High;1.0;1.0;1.0
100078;0;43.0;9.92;Human Resources;4;Life Sciences;Male;No;Yes;3;Sales Representative;3;13.0;Married;2.0;241667;2;14;1;3;Low;3;14.0;4;1;Medium;2.0;2.0;2.0
100079;0;23.0;7.9;Research & Development;1;Marketing;Female;Yes;No;3;Healthcare Representative;1;8.0;Divorced;3.0;33333;1;19;4;4;Low;1;0.0;6;3;High;0.0;0.0;0.0
100080;1;30.0;7.79;Research & Development;5;Other;Male;No;Yes;1;Research Scientist;1;15.0;Single;4.0;125000;2;17;1;1;High;1;6.0;5;4;Medium;;;
100081;1;23.0;6.73;Sales;3;Technical Degree;Male;Yes;Yes;4;Sales Representative;4;5.0;Single;2.0;58333;1;16;2;2;Very Low;4;2.0;5;4;Low;1.0;1.0;1.0
100082;1;33.0;9.36;Sales;4;Life Sciences;Female;No;Yes;2;Research Scientist;2;3.0;Divorced;3.0;258333;1;21;1;3;Very High;2;10.0;0;1;Low;1.0;1.0;1.0
100083;0;18.0;8.52;Human Resources;5;Human Resources;Female;No;Yes;3;Sales Executive;3;9.0;Divorced;2.0;16667;1;10;3;2;High;3;0.0;5;4;High;0.0;0.0;0.0
100084;0;22.0;7.3;Sales;4;Life Sciences;Male;Yes;No;2;Research Director;1;8.0;Divorced;2.0;16667;1;7;2;4;High;3;1.0;5;3;Medium;0.0;0.0;0.0
100085;1;52.0;18.08;Sales;5;Other;Male;No;No;3;Manufacturing Director;3;6.0;Single;1.0;216667;2;13;1;3;Very Low;1;8.0;1;1;Medium;8.0;4.0;8.0
100086;0;59.0;7.59;Sales;5;Life Sciences;Female;Yes;Yes;4;Healthcare Representative;2;2.0;Divorced;2.0;141667;1;25;3;1;Very High;2;11.0;5;2;High;1.0;1.0;1.0
100087;1;51.0;2.15;Human Resources;5;Technical Degree;Male;No;No;4;Research Director;1;13.0;Divorced;3.0;225000;2;8;2;4;Low;1;15.0;6;4;High;8.0;4.0;6.0
100088;1;35.0;10.55;Human Resources;1;Human Resources;Female;No;Yes;2;Laboratory Technician;1;14.0;Divorced;4.0;250000;2;14;4;4;Low;1;10.0;2;3;Low;3.0;3.0;1.0
100089;0;21.0;7.92;Sales;1;Other;Male;Yes;No;3;Research Scientist;3;6.0;Single;1.0;58333;1;23;4;3;Very Low;2;3.0;1;1;High;3.0;3.0;0.0
100090;0;24.0;6.04;Sales;1;Human Resources;Female;Yes;No;3;Research Director;2;5.0;Single;2.0;83333;1;19;2;3;Very Low;4;3.0;0;4;High;2.0;2.0;2.0
100091;0;59.0;7.77;Research & Development;1;Other;Female;No;Yes;2;Healthcare Representative;2;9.0;Married;2.0;6166670;8;13;3;2;Very High;4;37.0;3;3;Low;0.0;0.0;0.0
100092;0;26.0;6.5;Research & Development;1;Medical;Female;No;No;1;Human Resources;2;3.0;Single;4.0;108333;1;13;4;4;Very High;4;4.0;4;3;Medium;1.0;1.0;1.0
100093;0;52.0;7.69;Sales;1;Medical;Female;Yes;Yes;3;Research Director;2;15.0;Divorced;4.0;158333;2;21;1;1;Medium;3;12.0;3;3;Medium;5.0;5.0;3.0
100094;0;46.0;7.99;Research & Development;5;Medical;Male;No;No;4;Research Scientist;3;11.0;Married;4.0;83333;3;19;2;4;Very High;2;6.0;2;3;Low;6.0;0.0;1.0
100095;1;48.0;10.69;Sales;1;Marketing;Female;No;Yes;2;Manager;3;11.0;Married;4.0;383333;5;13;4;2;Very High;2;25.0;2;1;High;8.0;3.0;5.0
100096;0;19.0;8.14;Research & Development;3;Technical Degree;Female;Yes;Yes;1;Research Director;1;5.0;Married;1.0;25000;1;25;2;4;High;2;1.0;5;1;Medium;1.0;1.0;1.0
100097;0;45.0;8.8;Research & Development;2;Other;Female;Yes;No;1;Research Director;4;10.0;Single;5.0;316667;4;19;3;2;Medium;3;16.0;3;2;Medium;1.0;1.0;1.0
100098;0;23.0;5.97;Research & Development;5;Other;Male;Yes;No;2;Healthcare Representative;3;5.0;Married;2.0;58333;1;14;4;1;Medium;1;2.0;6;4;High;0.0;0.0;0.0
100099;0;38.0;18.17;Research & Development;5;Life Sciences;Female;No;Yes;4;Healthcare Representative;1;26.0;Married;5.0;350000;3;16;4;3;Very High;1;17.0;6;2;Low;12.0;1.0;6.0
100100;0;18.0;10.38;Research & Development;5;Other;Male;Yes;No;3;Sales Executive;3;4.0;Married;1.0;25000;1;15;3;1;Medium;2;0.0;4;3;Low;0.0;0.0;0.0
100101;0;;7.1;Sales;3;Medical;Female;Yes;No;3;Healthcare Representative;4;2.0;Single;5.0;25000;1;7;3;3;Medium;2;1.0;0;3;High;1.0;1.0;1.0
100102;0;34.0;6.28;Human Resources;3;Technical Degree;Female;No;No;4;Research Scientist;1;2.0;Divorced;1.0;50000;1;17;2;1;Medium;1;2.0;2;3;Medium;0.0;0.0;0.0
100103;0;46.0;9.98;Sales;3;Life Sciences;Female;Yes;Yes;3;Sales Executive;2;20.0;Single;4.0;433333;5;21;3;1;High;4;22.0;2;1;Low;8.0;0.0;3.0
100104;0;42.0;7.22;Sales;4;Human Resources;Female;Yes;No;1;Human Resources;4;6.0;Married;5.0;158333;1;17;2;4;Medium;1;11.0;5;4;Medium;9.0;4.0;6.0
100105;1;43.0;9.32;Research & Development;5;Human Resources;Male;No;No;1;Human Resources;1;6.0;Married;2.0;16667;1;17;2;2;Very Low;2;1.0;0;2;Medium;1.0;1.0;1.0
100106;1;;8.42;Research & Development;3;Life Sciences;Female;No;Yes;3;Manufacturing Director;2;23.0;Divorced;3.0;491667;4;14;1;2;Medium;2;31.0;6;1;Low;30.0;4.0;3.0
100107;0;40.0;6.49;Human Resources;1;Technical Degree;Male;No;No;2;Laboratory Technician;4;18.0;Single;3.0;250000;1;9;1;3;Medium;4;14.0;2;3;Low;9.0;0.0;6.0
100108;0;52.0;10.49;Human Resources;5;Human Resources;;No;Yes;1;Manufacturing Director;3;16.0;Married;3.0;258333;2;17;3;3;Very High;2;18.0;0;3;Low;5.0;5.0;4.0
100109;0;27.0;6.41;Sales;4;Other;Female;Yes;;2;Research Director;3;2.0;Married;5.0;108333;1;8;1;2;Low;1;5.0;3;3;Medium;1.0;1.0;1.0
100110;0;43.0;6.62;Human Resources;1;Other;;No;Yes;3;Research Director;4;5.0;Married;5.0;133333;1;24;1;1;Medium;1;7.0;4;2;High;6.0;1.0;4.0
100111;0;23.0;7.82;Human Resources;3;Other;Female;No;Yes;2;Manufacturing Director;1;5.0;Married;2.0;33333;1;7;3;4;Medium;3;0.0;6;2;High;0.0;0.0;0.0
100112;0;36.0;7.3;Research & Development;5;Other;Female;No;No;3;Research Scientist;3;24.0;Married;1.0;200000;3;24;4;4;Low;4;12.0;3;4;Low;10.0;4.0;10.0
100113;0;20.0;6.79;Sales;5;Marketing;Male;No;Yes;4;Research Director;1;5.0;Divorced;4.0;16667;1;20;4;3;Very Low;3;1.0;3;3;Low;1.0;1.0;1.0
100114;1;42.0;7.71;Sales;1;Life Sciences;Female;No;Yes;4;Manager;1;5.0;Married;5.0;350000;3;9;1;1;Medium;2;18.0;6;2;High;1.0;1.0;1.0
100115;0;54.0;7.52;Sales;2;Life Sciences;Female;No;No;1;Research Director;4;28.0;Divorced;4.0;175000;2;22;2;1;Very High;2;11.0;2;2;High;11.0;5.0;8.0
100116;0;49.0;6.33;Human Resources;3;Marketing;;No;No;2;Laboratory Technician;3;20.0;Divorced;3.0;433333;2;21;1;3;High;4;22.0;0;4;Medium;15.0;1.0;8.0
100117;0;40.0;9.29;Sales;1;Medical;Female;Yes;No;1;Research Scientist;2;13.0;Married;3.0;241667;1;8;3;3;Very High;3;13.0;1;1;Low;2.0;2.0;2.0
100118;0;41.0;8.13;Sales;5;Life Sciences;Female;No;Yes;2;Manufacturing Director;4;3.0;Single;2.0;241667;3;20;3;1;Very High;4;16.0;6;4;Medium;0.0;0.0;0.0
100119;0;22.0;7.39;Sales;3;Technical Degree;Female;No;Yes;1;Laboratory Technician;2;7.0;Married;4.0;25000;1;24;1;4;Very Low;4;1.0;0;3;High;0.0;0.0;0.0
100120;0;40.0;6.2;Sales;4;Technical Degree;Female;No;No;4;Research Scientist;3;5.0;Single;3.0;308333;4;10;2;2;High;1;17.0;4;4;Medium;9.0;3.0;9.0
100121;0;38.0;8.16;Research & Development;3;Technical Degree;Male;No;Yes;4;Sales Representative;3;15.0;Divorced;1.0;208333;3;22;2;4;High;2;14.0;3;2;High;8.0;1.0;8.0
100122;0;41.0;7.59;Human Resources;2;Medical;Female;No;No;3;Sales Representative;1;12.0;Single;1.0;258333;3;12;2;4;Very Low;2;17.0;0;3;Low;11.0;3.0;2.0
100123;0;;9.5;Research & Development;5;Marketing;Female;Yes;Yes;3;Laboratory Technician;3;2.0;Single;1.0;100000;2;16;2;1;Medium;4;4.0;5;2;Low;1.0;1.0;1.0
100124;0;37.0;6.07;Sales;4;Life Sciences;Male;Yes;No;2;Laboratory Technician;2;2.0;Divorced;3.0;1070;1;23;4;4;Very High;2;0.0;1;3;High;0.0;0.0;0.0
100125;0;31.0;10.38;Research & Development;3;Technical Degree;Male;Yes;No;3;Sales Executive;1;4.0;Divorced;4.0;8333;1;23;2;4;Medium;4;0.0;2;4;Low;0.0;0.0;0.0
100126;0;52.0;10.51;Research & Development;5;Technical Degree;Female;Yes;No;2;Research Director;4;22.0;Single;3.0;308333;3;12;1;2;Very High;2;18.0;6;2;Medium;14.0;2.0;1.0
100127;0;53.0;7.29;Research & Development;4;Medical;Female;No;No;1;Sales Executive;4;29.0;Married;4.0;316667;5;14;4;3;Very High;4;23.0;4;2;High;15.0;1.0;2.0
100128;1;41.0;6.81;Human Resources;2;Life Sciences;Male;No;No;1;Healthcare Representative;1;20.0;Married;4.0;208333;1;12;1;2;Low;2;13.0;2;3;High;8.0;5.0;1.0
100129;0;20.0;8.0;Sales;3;Marketing;Female;No;No;4;Research Director;3;5.0;Married;3.0;33333;1;25;2;3;Very Low;4;0.0;1;2;High;0.0;0.0;0.0
100130;0;53.0;6.9;Human Resources;1;Technical Degree;Male;No;No;1;Human Resources;1;11.0;Single;4.0;200000;1;22;4;1;Low;4;15.0;2;2;High;3.0;3.0;3.0
100131;0;32.0;8.1;Sales;2;Medical;;Yes;No;2;Human Resources;2;5.0;Divorced;5.0;125000;2;24;1;4;High;3;10.0;4;4;Low;0.0;0.0;0.0
100132;0;56.0;6.6;Research & Development;1;Technical Degree;Female;Yes;No;3;Research Director;2;15.0;Divorced;2.0;83333;3;18;1;1;Very High;1;6.0;5;2;High;5.0;5.0;4.0
100133;1;30.0;6.99;Sales;5;Medical;Male;No;Yes;1;Laboratory Technician;4;5.0;Married;3.0;33333;1;23;2;4;High;4;2.0;6;4;Medium;1.0;1.0;1.0
100134;0;29.0;6.19;Human Resources;4;Technical Degree;Female;No;Yes;1;Sales Executive;3;17.0;Divorced;5.0;133333;3;19;2;3;Very High;2;8.0;0;1;Medium;5.0;5.0;0.0
100135;0;21.0;6.59;Research & Development;3;Other;Female;No;Yes;2;Human Resources;4;8.0;Single;2.0;41667;1;9;4;3;Very High;1;3.0;5;1;Low;1.0;1.0;1.0
100136;1;58.0;6.02;Sales;5;Life Sciences;Male;Yes;Yes;4;Research Director;2;16.0;Single;3.0;83333;2;8;3;1;Very Low;1;5.0;5;1;High;4.0;4.0;4.0
100137;0;44.0;7.9;Research & Development;4;Life Sciences;Male;Yes;No;2;Manager;3;3.0;Married;2.0;166667;2;20;1;3;Very Low;3;11.0;3;4;High;0.0;0.0;0.0
100138;0;29.0;7.38;Research & Development;5;Life Sciences;Male;Yes;Yes;3;Research Director;2;7.0;Divorced;3.0;41667;1;12;1;4;Low;1;3.0;4;1;Medium;3.0;3.0;3.0
100139;1;52.0;7.79;Human Resources;1;Marketing;Female;No;Yes;3;Research Scientist;1;12.0;Divorced;2.0;308333;4;17;3;3;Low;2;20.0;4;1;High;3.0;3.0;0.0
100140;0;43.0;8.49;Sales;5;Other;Male;No;No;4;Healthcare Representative;2;25.0;Married;2.0;341667;4;13;2;2;High;1;19.0;3;3;Medium;19.0;5.0;9.0
